Position,Level,Salary
Role 1 - CEO,15,798611
Role 2 - Intern,1,35051
Role 3 - Engineer,3,61254
Role 4 - COO,13,387345
Role 5 - Director,8,141319
Role 6 - CTO,11,259154
Role 7 - CTO,11,240128
Role 8 - Junior Engineer,2,47509
Role 9 - Vice President,9,183960
Role 10 - Senior Engineer,4,71857
Role 11 - President,14,585863
Role 12 - Junior Engineer,2,48371
Role 13 - Vice President,9,188967
Role 14 - President,14,510853
Role 15 - Manager,6,102232
Role 16 - COO,13,353406
Role 17 - Engineer,3,60323
Role 18 - CEO,15,763026
Role 19 - President,14,566226
Role 20 - Senior VP,10,210317
Role 21 - Vice President,9,178491
Role 22 - Manager,6,99884
Role 23 - CTO,11,282213
Role 24 - Senior VP,10,202829
Role 25 - Engineer,3,60372
Role 26 - Senior VP,10,192815
Role 27 - President,14,496701
Role 28 - Vice President,9,171319
Role 29 - Manager,6,115474
Role 30 - CEO,15,663265
Role 31 - President,14,488272
Role 32 - Senior Engineer,4,62142
Role 33 - President,14,547927
Role 34 - Vice President,9,179320
Role 35 - President,14,463908
Role 36 - Manager,6,119100
Role 37 - Senior Manager,7,118927
Role 38 - COO,13,352178
Role 39 - COO,13,353543
Role 40 - Director,8,150824
Role 41 - CFO,12,341126
Role 42 - Senior VP,10,218257
Role 43 - Junior Engineer,2,44848
Role 44 - Manager,6,90608
Role 45 - Intern,1,44675
Role 46 - Director,8,131120
Role 47 - Lead Engineer,5,98503
Role 48 - President,14,474170
Role 49 - CTO,11,240303
Role 50 - Engineer,3,51297
Role 51 - Senior VP,10,230078
Role 52 - Director,8,131021
Role 53 - Lead Engineer,5,83350
Role 54 - CEO,15,620767
Role 55 - CEO,15,675803
Role 56 - Manager,6,108058
Role 57 - CTO,11,277290
Role 58 - Lead Engineer,5,91362
Role 59 - Junior Engineer,2,41930
Role 60 - CEO,15,672552
Role 61 - Engineer,3,63957
Role 62 - CFO,12,304018
Role 63 - CTO,11,285439
Role 64 - Senior VP,10,191506
Role 65 - CFO,12,284182
Role 66 - Lead Engineer,5,81555
Role 67 - Senior Engineer,4,72157
Role 68 - Director,8,143609
Role 69 - President,14,543202
Role 70 - Vice President,9,190250
Role 71 - Director,8,130615
Role 72 - Manager,6,100936
Role 73 - Lead Engineer,5,92281
Role 74 - Senior Engineer,4,79187
Role 75 - Intern,1,44042
Role 76 - Manager,6,108633
Role 77 - Intern,1,37884
Role 78 - Lead Engineer,5,93366
Role 79 - Senior Manager,7,119818
Role 80 - COO,13,422745
Role 81 - CEO,15,711721
Role 82 - President,14,483771
Role 83 - Senior VP,10,224460
Role 84 - Manager,6,102039
Role 85 - President,14,566341
Role 86 - CFO,12,314230
Role 87 - President,14,585797
Role 88 - Engineer,3,52655
Role 89 - President,14,519080
Role 90 - Engineer,3,53817
Role 91 - Senior Engineer,4,79649
Role 92 - Vice President,9,185144
Role 93 - President,14,539517
Role 94 - Junior Engineer,2,49357
Role 95 - CFO,12,288087
Role 96 - Vice President,9,196268
Role 97 - Engineer,3,61084
Role 98 - President,14,460435
Role 99 - President,14,492991
Role 100 - Engineer,3,63442
